brand,action,id,model,page,summary
TEXMO,MODIFIED,r1338,CRDP03S,32,"Updated size, curve, dataNote"
TEXMO,MODIFIED,r1339,CDP0380S,32,"Updated curve, dataNote"
TEXMO,MODIFIED,r1344,CDP0780S,32,"Updated curve, dataNote"
TEXMO,MODIFIED,r1347,CRDP11S,32,"Updated curve, dataNote"
LUBI,ADDED,lubi_70_lbh_11_v59_a_class_three_phase_2880_rpm_page_70,LBH-11,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_11h_v59_a_class_three_phase_2880_rpm_page_70,LBH-11H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_11hl_v59_a_class_three_phase_2880_rpm_page_70,LBH-11HL,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_12_v59_a_class_three_phase_2880_rpm_page_70,LBH-12,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_12h_v59_a_class_three_phase_2880_rpm_page_70,LBH-12H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_12hl_v59_a_class_three_phase_2880_rpm_page_70,LBH-12HL,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_14_v59_a_class_three_phase_2880_rpm_page_70,LBH-14,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_14h_v59_a_class_three_phase_2880_rpm_page_70,LBH-14H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_14hs_v59_a_class_three_phase_2880_rpm_page_70,LBH-14HS,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_15_v59_a_class_three_phase_2880_rpm_page_70,LBH-15,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_17_v59_a_class_three_phase_2880_rpm_page_70,LBH-17,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_18h_v59_a_class_three_phase_2880_rpm_page_70,LBH-18H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_20a_v59_a_class_three_phase_2880_rpm_page_70,LBH-20A,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_20h_v59_a_class_three_phase_2880_rpm_page_70,LBH-20H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_21a_v59_a_class_three_phase_2880_rpm_page_70,LBH-21A,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_22h_v59_a_class_three_phase_2880_rpm_page_70,LBH-22H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_24_v59_a_class_three_phase_2880_rpm_page_70,LBH-24,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_24h_v59_a_class_three_phase_2880_rpm_page_70,LBH-24H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_25_v59_a_class_three_phase_2880_rpm_page_70,LBH-25,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_29_v59_a_class_three_phase_2880_rpm_page_70,LBH-29,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_29a_v59_a_class_three_phase_2880_rpm_page_70,LBH-29A,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_30_v59_a_class_three_phase_2880_rpm_page_70,LBH-30,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_31_v59_a_class_three_phase_2880_rpm_page_70,LBH-31,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_32_v59_a_class_three_phase_2880_rpm_page_70,LBH-32,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_38a_v59_a_class_three_phase_2880_rpm_page_70,LBH-38A,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_38b_v59_a_class_three_phase_2880_rpm_page_70,LBH-38B,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_40_v59_a_class_three_phase_2880_rpm_page_70,LBH-40,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_41a_v59_a_class_three_phase_2880_rpm_page_70,LBH-41A,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_41ah_v59_a_class_three_phase_2880_rpm_page_70,LBH-41AH,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_43_v59_a_class_three_phase_2880_rpm_page_70,LBH-43,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_44_v59_a_class_three_phase_2880_rpm_page_70,LBH-44,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_45_v59_a_class_three_phase_2880_rpm_page_70,LBH-45,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_47_v59_a_class_three_phase_2880_rpm_page_70,LBH-47,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_70_lbh_49h_v59_a_class_three_phase_2880_rpm_page_70,LBH-49H,70,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_11_v59_b_class_three_phase_2880_rpm_page_71,LBH-11,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_1_v59_b_class_three_phase_2880_rpm_page_71,LBH-1,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_2_v59_b_class_three_phase_2880_rpm_page_71,LBH-2,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_2a_v59_b_class_three_phase_2880_rpm_page_71,LBH-2A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_4_v59_b_class_three_phase_2880_rpm_page_71,LBH-4,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_4a_v59_b_class_three_phase_2880_rpm_page_71,LBH-4A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_5_v59_b_class_three_phase_2880_rpm_page_71,LBH-5,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_5a_v59_b_class_three_phase_2880_rpm_page_71,LBH-5A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_6_v59_b_class_three_phase_2880_rpm_page_71,LBH-6,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_7_v59_b_class_three_phase_2880_rpm_page_71,LBH-7,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_8_v59_b_class_three_phase_2880_rpm_page_71,LBH-8,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbh_9_v59_b_class_three_phase_2880_rpm_page_71,LBH-9,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51c_v59_a_class_three_phase_1440_rpm_page_71,LBL-51C,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51d_v59_a_class_three_phase_1440_rpm_page_71,LBL-51D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_51e_v59_a_class_three_phase_1440_rpm_page_71,LBL-51E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52c_v59_a_class_three_phase_1440_rpm_page_71,LBL-52C,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52d_v59_a_class_three_phase_1440_rpm_page_71,LBL-52D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52e_v59_a_class_three_phase_1440_rpm_page_71,LBL-52E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_52f_v59_a_class_three_phase_1440_rpm_page_71,LBL-52F,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53d_v59_a_class_three_phase_1440_rpm_page_71,LBL-53D,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53e_v59_a_class_three_phase_1440_rpm_page_71,LBL-53E,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53g_v59_a_class_three_phase_1440_rpm_page_71,LBL-53G,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_53h_v59_a_class_three_phase_1440_rpm_page_71,LBL-53H,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54_v59_a_class_three_phase_1440_rpm_page_71,LBL-54,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54a_v59_a_class_three_phase_1440_rpm_page_71,LBL-54A,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54b_v59_a_class_three_phase_1440_rpm_page_71,LBL-54B,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_71_lbl_54hh_v59_a_class_three_phase_1440_rpm_page_71,LBL-54HH,71,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_50cv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-50CV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_50ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-50EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51av_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51AV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51bv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51BV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51dv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51DV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_51ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-51EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52bv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52BV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52dv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52DV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52ev_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52EV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_52hv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-52HV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_53hv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-53HV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_53hvn_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-53HVN,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_54c_v59_a_class_three_phase_1440_rpm_page_72,LBL-54C,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_54d_v59_a_class_three_phase_1440_rpm_page_72,LBL-54D,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_54hv_v59_a_class_volute_type_three_phase_1440_rpm_page_72,LBL-54HV,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_56_v59_a_class_three_phase_1440_rpm_page_72,LBL-56,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_56as_v59_a_class_three_phase_1440_rpm_page_72,LBL-56AS,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_56b_v59_a_class_three_phase_1440_rpm_page_72,LBL-56B,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
LUBI,ADDED,lubi_72_lbl_56c_v59_a_class_three_phase_1440_rpm_page_72,LBL-56C,72,Added source-confirmed record; status=SOURCE_CONFIRMED; selectable=True
